ppn	spkr	id	var	dur	f	pool	list	def	s	o1	o2	o3	o4	cor	r	rt	i
ZRWDX	46	12	1	629	12_46_1.wav	3	1	24	m	24	64	33	14	1	1	1012	110
ZRWDX	28	5	1	750	5_28_1.wav	2	3	41	f	132	143	81	41	1	4	1309	111
ZRWDX	22	12	2	665	12_22_2.wav	3	3	41	m	138	173	85	41	1	4	2367	112
ZRWDX	2	9	1	543	9_2_1.wav	2	2	26	m	159	26	166	72	1	2	1094	113
ZRWDX	38	9	1	657	9_38_1.wav	2	3	41	m	41	127	88	82	1	1	1643	114
ZRWDX	6	2	1	839	2_6_1.wav	1	2	4	f	4	46	135	176	1	1	868	115
ZRWDX	22	5	3	725	5_22_3.wav	2	3	41	f	77	93	170	41	1	4	1916	116
ZRWDX	51	10	1	810	10_51_1.wav	1	3	41	m	101	41	109	108	1	2	3867	117
ZRWDX	17	12	2	660	12_17_2.wav	3	1	39	m	8	39	36	158	1	2	2116	118
ZRWDX	21	3	2	780	3_21_2.wav	3	3	41	f	41	113	175	26	1	1	2162	119
ZRWDX	42	6	3	619	6_42_3.wav	1	1	38	f	107	157	38	72	1	3	1614	120
ZRWDX	47	6	1	573	6_47_1.wav	1	2	9	f	138	9	131	25	1	2	2335	121
ZRWDX	16	4	1	800	4_16_1.wav	3	3	41	f	129	25	41	95	1	3	2059	122
ZRWDX	34	12	1	1085	12_34_1.wav	3	3	41	m	58	7	142	41	1	4	1452	123
ZRWDX	20	7	2	840	7_20_2.wav	3	1	11	m	13	11	18	119	0	2	1303	124
ZRWDX	55	5	2	670	5_55_2.wav	2	3	41	f	41	130	6	175	0	3	1264	125
ZRWDX	6	4	3	795	4_6_3.wav	3	2	4	f	4	13	128	58	1	1	2981	126
ZRWDX	59	11	1	544	11_59_1.wav	1	2	14	m	14	124	123	60	1	1	842	127
ZRWDX	58	11	2	550	11_58_2.wav	1	1	8	m	80	8	148	92	0	3	3941	128
ZRWDX	56	12	1	585	12_56_1.wav	3	2	3	m	141	99	57	3	1	4	2478	129
ZRWDX	39	5	2	812	5_39_2.wav	2	1	36	f	71	36	51	143	1	2	1106	130
ZRWDX	43	3	3	715	3_43_3.wav	3	1	27	f	140	49	27	141	1	3	1387	131
ZRWDX	49	6	2	542	6_49_2.wav	1	3	41	f	142	51	54	41	1	4	2650	132
ZRWDX	13	5	4	860	5_13_4.wav	2	2	30	f	30	172	107	72	1	1	961	133
ZRWDX	10	12	2	567	12_10_2.wav	3	1	21	m	106	58	21	157	1	3	2445	134
ZRWDX	7	4	2	710	4_7_2.wav	3	1	20	f	20	77	102	87	1	1	893	135
ZRWDX	8	2	3	637	2_8_3.wav	1	2	6	f	6	102	53	149	1	1	806	136
ZRWDX	18	6	3	622	6_18_3.wav	1	2	7	f	46	44	110	7	1	4	1936	137
ZRWDX	52	2	1	592	2_52_1.wav	1	3	41	f	134	41	1	32	1	2	3767	138
ZRWDX	37	4	1	920	4_37_1.wav	3	1	22	f	22	19	86	28	1	1	735	139
ZRWDX	3	6	1	441	6_3_1.wav	1	3	41	f	41	119	73	43	1	1	1438	140
ZRWDX	11	12	3	788	12_11_3.wav	3	3	41	m	142	41	174	145	1	2	2037	141
ZRWDX	48	7	3	820	7_48_3.wav	3	1	2	m	116	9	2	8	1	3	1281	142
ZRWDX	3	1	3	550	1_3_3.wav	2	3	41	f	41	128	79	155	1	1	946	143
ZRWDX	35	11	1	568	11_35_1.wav	1	2	17	m	158	42	33	17	0	3	1988	144
ZRWDX	20	1	4	980	1_20_4.wav	2	1	11	f	11	76	166	4	1	1	931	145
ZRWDX	26	6	1	738	6_26_1.wav	1	1	40	f	67	81	40	161	1	3	1699	146
ZRWDX	24	2	3	668	2_24_3.wav	1	1	33	f	167	138	33	82	1	3	1213	147
ZRWDX	18	5	3	703	5_18_3.wav	2	2	7	f	7	170	79	118	0	1	696	148
ZRWDX	42	5	1	680	5_42_1.wav	2	1	38	f	38	175	82	73	1	1	598	149
ZRWDX	15	7	1	920	7_15_1.wav	3	2	5	m	168	5	126	40	1	2	3347	150
ZRWDX	21	6	2	622	6_21_2.wav	1	3	41	f	155	100	144	41	1	4	2785	151
ZRWDX	58	1	1	500	1_58_1.wav	2	1	8	f	22	8	48	103	0	1	1349	152
ZRWDX	23	3	2	845	3_23_2.wav	3	3	41	f	41	180	82	122	1	1	2087	153
